Azimuth/deg,Zenith/deg
332.03,46.795
327.55,42.118
328.62,43.765
329.67,45.351
330.69,46.878
326.36,42.067
327.38,43.762
328.38,45.391
329.35,46.96
325.17,42.018
326.14,43.759
327.08,45.431
328.01,47.04
323.99,41.97
324.9,43.757
325.79,45.471
326.67,47.12
322.8,41.923
323.66,43.755
324.5,45.511
325.33,47.197
321.62,41.878
322.41,43.754
323.2,45.55
323.99,47.274
320.43,41.835
321.17,43.753
321.91,45.588
322.64,47.349
319.25,41.793
319.93,43.753
320.62,45.626
321.3,47.422
318.07,41.752
318.69,43.753
319.32,45.664
319.96,47.494
316.89,41.713
317.45,43.754
318.03,45.701
318.61,47.565
315.71,41.676
316.21,43.756
316.73,45.738
317.27,47.634
314.53,41.64
314.97,43.758
315.44,45.774
315.92,47.702
313.35,41.606
313.73,43.761
314.14,45.81
314.57,47.768
312.17,41.574
312.49,43.764
312.85,45.846
313.23,47.833
310.99,41.544
311.25,43.768
311.55,45.881
311.88,47.896
309.82,41.515
310.01,43.773
310.26,45.915
310.53,47.957
308.64,41.489
308.77,43.778
308.96,45.949
309.19,48.017
307.46,41.464
307.53,43.784
307.66,45.982
307.84,48.075
306.29,41.441
306.29,43.79
306.37,46.015
306.49,48.132
305.11,41.419
305.05,43.798
305.07,46.047
305.14,48.187
303.93,41.4
303.81,43.805
303.77,46.079
303.8,48.24
302.76,41.383
302.57,43.814
302.48,46.111
302.45,48.292
301.58,41.368
301.33,43.823
301.18,46.141
301.1,48.342
300.41,41.355
300.09,43.833
299.88,46.172
299.75,48.391
299.23,41.343
298.85,43.844
298.59,46.201
298.41,48.438
298.06,41.334
297.61,43.855
297.29,46.23
297.06,48.483
296.88,41.327
296.37,43.867
295.99,46.259
295.71,48.526
295.7,41.322
295.13,43.88
294.7,46.287
294.36,48.568
294.53,41.319
293.89,43.893
293.4,46.314
293.02,48.608
293.35,41.318
292.65,43.907
292.1,46.341
291.67,48.646
292.17,41.319
291.41,43.922
290.81,46.368
290.32,48.682
290.99,41.323
290.17,43.937
289.51,46.393
288.97,48.717
289.81,41.328
288.93,43.953
288.21,46.419
287.63,48.75
288.63,41.336
287.68,43.97
286.92,46.443
286.28,48.781
287.45,41.346
286.44,43.988
285.62,46.467
284.94,48.811
286.27,41.358
285.2,44.006
284.32,46.491
283.59,48.839
285.09,41.372
283.96,44.025
283.03,46.514
282.25,48.865
283.91,41.388
282.71,44.045
281.73,46.536
280.9,48.889
282.72,41.406
281.47,44.065
280.43,46.558
279.56,48.912
281.54,41.427
280.23,44.087
279.14,46.579
278.22,48.933
280.35,41.45
278.98,44.109
277.84,46.6
276.87,48.952
279.16,41.475
277.74,44.131
276.55,46.62
275.53,48.969
277.98,41.502
276.49,44.154
275.25,46.639
274.19,48.985
276.79,41.531
275.25,44.178
273.96,46.658
272.85,48.999
275.59,41.562
274,44.203
272.66,46.677
271.51,49.011
274.4,41.596
272.75,44.229
271.37,46.695
270.17,49.022
273.21,41.631
271.51,44.255
270.07,46.712
268.83,49.031
272.01,41.669
270.26,44.282
268.78,46.729
267.5,49.038
270.81,41.709
269.01,44.309
267.48,46.745
266.16,49.043
269.61,41.751
267.76,44.337
266.19,46.76
264.82,49.047
268.41,41.795
266.51,44.366
264.9,46.775
263.49,49.049
267.21,41.841
265.27,44.396
263.6,46.79
262.16,49.05
266.01,41.889
264.02,44.426
262.31,46.804
260.82,49.049
264.8,41.939
262.76,44.457
261.02,46.817
259.49,49.046
263.59,41.991
261.51,44.489
259.73,46.83
258.16,49.042
262.38,42.045
260.26,44.521
258.44,46.843
256.83,49.036
261.17,42.101
259.01,44.554
257.14,46.854
255.5,49.028
259.96,42.159
257.76,44.587
255.85,46.866
254.17,49.019
258.74,42.219
256.5,44.622
254.56,46.877
252.85,49.008
257.52,42.281
255.25,44.656
253.27,46.887
251.52,48.996
256.3,42.344
253.99,44.692
251.98,46.897
250.2,48.982
255.08,42.41
252.74,44.728
250.69,46.906
248.88,48.967
253.85,42.477
251.48,44.765
249.4,46.915
247.55,48.95
252.63,42.546
250.22,44.802
248.12,46.923
246.23,48.932
251.4,42.616
248.97,44.84
246.83,46.931
244.92,48.912
250.17,42.689
247.71,44.878
245.54,46.939
243.6,48.891
248.94,42.763
246.45,44.917
244.25,46.946
242.28,48.868
247.7,42.838
245.19,44.957
242.97,46.952
240.97,48.844
246.46,42.915
243.93,44.997
241.68,46.958
239.65,48.819
245.22,42.994
242.67,45.037
240.39,46.964
238.34,48.792
243.98,43.074
241.4,45.078
239.11,46.969
237.03,48.764
242.74,43.156
240.14,45.12
237.82,46.974
235.72,48.735
241.49,43.239
238.88,45.162
236.54,46.979
234.42,48.704
240.24,43.324
237.61,45.205
235.26,46.983
233.11,48.672
238.99,43.41
236.35,45.248
233.97,46.987
231.81,48.639
237.74,43.497
235.08,45.292
232.69,46.99
230.5,48.605
236.48,43.586
233.82,45.336
231.41,46.993
229.2,48.57
235.22,43.676
232.55,45.38
230.13,46.995
227.9,48.533
233.96,43.767
231.28,45.425
228.84,46.998
226.61,48.496
232.7,43.859
230.01,45.471
227.56,47
225.31,48.457
231.43,43.952
228.74,45.516
226.28,47.001
224.02,48.417
230.17,44.046
227.47,45.563
225,47.003
222.72,48.376
228.9,44.142
226.2,45.609
223.73,47.004
221.43,48.334
227.63,44.238
224.93,45.656
222.45,47.004
220.14,48.292
226.35,44.335
223.66,45.703
221.17,47.005
218.86,48.248
225.07,44.434
222.38,45.751
219.89,47.005
217.57,48.203
223.8,44.533
221.11,45.799
218.62,47.005
216.29,48.158
222.52,44.632
219.83,45.847
217.34,47.005
215,48.111
221.23,44.733
218.56,45.896
216.06,47.004
213.72,48.064
219.95,44.834
217.28,45.945
214.79,47.003
212.45,48.016
218.66,44.936
216,45.994
213.51,47.002
211.17,47.968
217.37,45.039
214.72,46.043
212.24,47.001
209.89,47.918
216.08,45.142
213.45,46.093
210.97,47
208.62,47.868
214.78,45.246
212.17,46.143
209.69,46.998
207.35,47.818
213.49,45.35
210.88,46.193
208.42,46.997
206.08,47.767
212.19,45.455
209.6,46.243
207.15,46.995
204.81,47.715
210.89,45.56
208.32,46.293
205.88,46.993
203.55,47.663
209.59,45.665
207.04,46.344
204.61,46.991
202.28,47.61
208.28,45.771
205.76,46.395
203.34,46.989
201.02,47.557
206.98,45.877
204.47,46.446
202.07,46.987
199.76,47.503
205.67,45.983
203.19,46.497
200.8,46.985
198.51,47.449
204.36,46.09
201.9,46.548
199.53,46.982
197.25,47.395
203.05,46.196
200.61,46.599
198.27,46.98
196,47.34
201.73,46.303
199.33,46.651
197,46.978
194.74,47.285
200.42,46.409
198.04,46.702
195.73,46.975
193.49,47.23
199.1,46.516
196.75,46.754
194.47,46.973
192.24,47.175
197.78,46.623
195.46,46.805
193.2,46.97
191,47.12
196.46,46.729
194.17,46.857
191.94,46.968
189.75,47.064
195.14,46.836
192.88,46.909
190.67,46.966
188.51,47.009
193.81,46.942
191.59,46.96
189.41,46.963
187.27,46.953
192.49,47.048
190.3,47.012
188.15,46.961
186.03,46.897
191.16,47.154
189,47.063
186.88,46.959
184.79,46.842
189.83,47.259
187.71,47.115
185.62,46.957
183.56,46.787
188.5,47.364
186.42,47.166
184.36,46.955
182.32,46.731
187.17,47.469
185.12,47.218
183.1,46.953
181.09,46.676
185.83,47.573
183.83,47.269
181.84,46.951
179.86,46.622
184.5,47.677
182.53,47.32
180.58,46.95
178.63,46.567
183.16,47.781
181.23,47.371
179.32,46.948
177.41,46.513
181.82,47.883
179.94,47.422
178.06,46.947
176.18,46.459
180.48,47.986
178.64,47.473
176.8,46.946
174.96,46.406
179.14,48.087
177.34,47.524
175.54,46.945
173.74,46.353
177.8,48.188
176.04,47.574
174.28,46.944
172.52,46.3
176.46,48.289
174.74,47.625
173.03,46.944
171.3,46.248
175.11,48.388
173.44,47.675
171.77,46.944
170.08,46.197
173.77,48.487
172.14,47.725
170.51,46.944
168.87,46.146
172.42,48.585
170.84,47.774
169.26,46.944
167.66,46.095
171.07,48.683
169.54,47.824
168,46.945
166.44,46.046
169.72,48.779
168.24,47.873
166.74,46.946
165.23,45.997
168.37,48.874
166.94,47.922
165.49,46.947
164.03,45.949
167.02,48.969
165.64,47.971
164.23,46.948
162.82,45.902
165.67,49.063
164.33,48.02
162.98,46.95
161.61,45.855
164.32,49.155
163.03,48.068
161.73,46.952
160.41,45.81
162.97,49.247
161.72,48.116
160.47,46.955
159.2,45.765
161.61,49.338
160.42,48.163
159.22,46.958
158,45.721
160.26,49.427
159.12,48.21
157.96,46.961
156.8,45.679
158.9,49.516
157.81,48.257
156.71,46.965
155.6,45.637
157.54,49.603
156.51,48.304
155.46,46.969
154.4,45.596
156.19,49.689
155.2,48.35
154.21,46.973
153.21,45.557
154.83,49.774
153.89,48.396
